Before the meeting , Mary wrote down the following lists of words . One was : patience , notion , movie . And the other : doorway , candle , parent .
Before the meeting , Mary wrote down the following lists of words . One was : colour , product , echo , pepper , fountain , music , oven , patient , daughter , bubble . And the other : career , bargain , chimney , effort , province , parcel , temple , river , major , meeting .
Before the meeting , Mary wrote down the following lists of words . One was : bubble , colour , product , echo , pepper , fountain , music , oven , patient , daughter . And the other : meadow , writer , apple , costume , pleasure , pattern , leader , culture , worker , master .
Before the meeting , Mary wrote down the following lists of words . One was : daughter , bubble , colour , product , echo , pepper , fountain , music , oven , patient . And the other : victim , lily , witness , widow , image , butcher , anchor , scholar , compound , tribute .
Before the meeting , Mary wrote down the following lists of words . One was : patient , daughter , bubble , colour , product , echo , pepper , fountain , music , oven . And the other : meaning , campaign , voyage , cannon , helmet , thunder , hatred , stanza , summer , bottom .
Before the meeting , Mary wrote down the following lists of words . One was : village , shipping , beauty , football , merit , autumn , lumber , research , resort , rival . And the other : traitor , engine , timber , harbour , party , level , money , single , system , unit .
Before the meeting , Mary wrote down the following lists of words . One was : rival , village , shipping , beauty , football , merit , autumn , lumber , research , resort . And the other : legend , problem , flavor , prairie , forehead , illness , planet , canvas , chamber , future .
Before the meeting , Mary wrote down the following lists of words . One was : resort , rival , village , shipping , beauty , football , merit , autumn , lumber , research . And the other : water , motor , lawyer , powder , habit , mountain , district , learning , leather , hero .
Before the meeting , Mary wrote down the following lists of words . One was : research , resort , rival , village , shipping , beauty , football , merit , autumn , lumber . And the other : canoe , novel , folly , silver , eagle , center , patience , notion , movie , women .
Before the meeting , Mary wrote down the following lists of words . One was : lumber , research , resort , rival , village , shipping , beauty , football , merit , autumn . And the other : bottom , meaning , campaign , voyage , cannon , helmet , thunder , hatred , stanza , summer .
Before the meeting , Mary wrote down the following lists of words . One was : autumn , lumber , research , resort , rival , village , shipping , beauty , football , merit . And the other : meeting , career , bargain , chimney , effort , province , parcel , temple , river , major .
Before the meeting , Mary wrote down the following lists of words . One was : merit , autumn , lumber , research , resort , rival , village , shipping , beauty , football . And the other : total , comrade , angle , battle , pistol , nothing , riches , paper , belief , factor .
Before the meeting , Mary wrote down the following lists of words . One was : football , merit , autumn , lumber , research , resort , rival , village , shipping , beauty . And the other : worker , master , meadow , writer , apple , costume , pleasure , pattern , leader , culture .
Before the meeting , Mary wrote down the following lists of words . One was : beauty , football , merit , autumn , lumber , research , resort , rival , village , shipping . And the other : onion , opera , attack , prison , butter , interest , colonel , commerce , beggar , iron .
Before the meeting , Mary wrote down the following lists of words . One was : shipping , beauty , football , merit , autumn , lumber , research , resort , rival , village . And the other : pepper , fountain , music , oven , patient , daughter , bubble , colour , product , echo .
Before the meeting , Mary wrote down the following lists of words . One was : county , muscle , vapor , shepherd , sickness , herald , value , mission , finger , building . And the other : banner , kitten , lemon , failure , princess , painter , bullet , rifle , vessel , robber .
Before the meeting , Mary wrote down the following lists of words . One was : building , county , muscle , vapor , shepherd , sickness , herald , value , mission , finger . And the other : leather , hero , water , motor , lawyer , powder , habit , mountain , district , learning .
Before the meeting , Mary wrote down the following lists of words . One was : finger , building , county , muscle , vapor , shepherd , sickness , herald , value , mission . And the other : lumber , research , resort , rival , village , shipping , beauty , football , merit , autumn .
Before the meeting , Mary wrote down the following lists of words . One was : mission , finger , building , county , muscle , vapor , shepherd , sickness , herald , value . And the other : opera , attack , prison , butter , interest , colonel , commerce , beggar , iron , onion .
Before the meeting , Mary wrote down the following lists of words . One was : value , mission , finger , building , county , muscle , vapor , shepherd , sickness , herald . And the other : kingdom , cabin , doorway , candle , parent , monarch , kindness , lover , copy , soldier .
Before the meeting , Mary wrote down the following lists of words . One was : herald , value , mission , finger , building , county , muscle , vapor , shepherd , sickness . And the other : system , unit , traitor , engine , timber , harbour , party , level , money , single .
Before the meeting , Mary wrote down the following lists of words . One was : sickness , herald , value , mission , finger , building , county , muscle , vapor , shepherd . And the other : pleasure , pattern , leader , culture , worker , master , meadow , writer , apple , costume .
Before the meeting , Mary wrote down the following lists of words . One was : shepherd , sickness , herald , value , mission , finger , building , county , muscle , vapor . And the other : motor , lawyer , powder , habit , mountain , district , learning , leather , hero , water .
Before the meeting , Mary wrote down the following lists of words . One was : vapor , shepherd , sickness , herald , value , mission , finger , building , county , muscle . And the other : ticket , baby , treasure , event , weakness , cottage , cotton , judgment , blanket , marriage .
Before the meeting , Mary wrote down the following lists of words . One was : muscle , vapor , shepherd , sickness , herald , value , mission , finger , building , county . And the other : widow , image , butcher , anchor , scholar , compound , tribute , victim , lily , witness .
Before the meeting , Mary wrote down the following lists of words . One was : iron , onion , opera , attack , prison , butter , interest , colonel , commerce , beggar . And the other : patience , notion , movie , women , canoe , novel , folly , silver , eagle , center .
Before the meeting , Mary wrote down the following lists of words . One was : beggar , iron , onion , opera , attack , prison , butter , interest , colonel , commerce . And the other : single , system , unit , traitor , engine , timber , harbour , party , level , money .
Before the meeting , Mary wrote down the following lists of words . One was : commerce , beggar , iron , onion , opera , attack , prison , butter , interest , colonel . And the other : problem , flavor , prairie , forehead , illness , planet , canvas , chamber , future , legend .
Before the meeting , Mary wrote down the following lists of words . One was : colonel , commerce , beggar , iron , onion , opera , attack , prison , butter , interest . And the other : silver , eagle , center , patience , notion , movie , women , canoe , novel , folly .
Before the meeting , Mary wrote down the following lists of words . One was : interest , colonel , commerce , beggar , iron , onion , opera , attack , prison , butter . And the other : notion , movie , women , canoe , novel , folly , silver , eagle , center , patience .
Before the meeting , Mary wrote down the following lists of words . One was : butter , interest , colonel , commerce , beggar , iron , onion , opera , attack , prison . And the other : candy , window , detail , ocean , program , traffic , feather , array , pilot , silence .
Before the meeting , Mary wrote down the following lists of words . One was : prison , butter , interest , colonel , commerce , beggar , iron , onion , opera , attack . And the other : bubble , colour , product , echo , pepper , fountain , music , oven , patient , daughter .
Before the meeting , Mary wrote down the following lists of words . One was : attack , prison , butter , interest , colonel , commerce , beggar , iron , onion , opera . And the other : research , resort , rival , village , shipping , beauty , football , merit , autumn , lumber .
Before the meeting , Mary wrote down the following lists of words . One was : opera , attack , prison , butter , interest , colonel , commerce , beggar , iron , onion . And the other : summer , bottom , meaning , campaign , voyage , cannon , helmet , thunder , hatred , stanza .
Before the meeting , Mary wrote down the following lists of words . One was : onion , opera , attack , prison , butter , interest , colonel , commerce , beggar , iron . And the other : cabin , doorway , candle , parent , monarch , kindness , lover , copy , soldier , kingdom .
Before the meeting , Mary wrote down the following lists of words . One was : blanket , marriage , ticket , baby , treasure , event , weakness , cottage , cotton , judgment . And the other : parlor , acre , fortune , motive , question , service , minute , tiger , author , sorrow .
Before the meeting , Mary wrote down the following lists of words . One was : judgment , blanket , marriage , ticket , baby , treasure , event , weakness , cottage , cotton . And the other : writer , apple , costume , pleasure , pattern , leader , culture , worker , master , meadow .
Before the meeting , Mary wrote down the following lists of words . One was : cotton , judgment , blanket , marriage , ticket , baby , treasure , event , weakness , cottage . And the other : scholar , compound , tribute , victim , lily , witness , widow , image , butcher , anchor .
Before the meeting , Mary wrote down the following lists of words . One was : cottage , cotton , judgment , blanket , marriage , ticket , baby , treasure , event , weakness . And the other : traffic , feather , array , pilot , silence , candy , window , detail , ocean , program .
Before the meeting , Mary wrote down the following lists of words . One was : weakness , cottage , cotton , judgment , blanket , marriage , ticket , baby , treasure , event . And the other : traffic , feather , array , pilot , silence , candy , window , detail , ocean , program .
Before the meeting , Mary wrote down the following lists of words . One was : event , weakness , cottage , cotton , judgment , blanket , marriage , ticket , baby , treasure . And the other : minute , tiger , author , sorrow , parlor , acre , fortune , motive , question , service .
Before the meeting , Mary wrote down the following lists of words . One was : treasure , event , weakness , cottage , cotton , judgment , blanket , marriage , ticket , baby . And the other : herald , value , mission , finger , building , county , muscle , vapor , shepherd , sickness .
Before the meeting , Mary wrote down the following lists of words . One was : baby , treasure , event , weakness , cottage , cotton , judgment , blanket , marriage , ticket . And the other : butcher , anchor , scholar , compound , tribute , victim , lily , witness , widow , image .
Before the meeting , Mary wrote down the following lists of words . One was : ticket , baby , treasure , event , weakness , cottage , cotton , judgment , blanket , marriage . And the other : unit , traitor , engine , timber , harbour , party , level , money , single , system .
Before the meeting , Mary wrote down the following lists of words . One was : marriage , ticket , baby , treasure , event , weakness , cottage , cotton , judgment , blanket . And the other : effort , province , parcel , temple , river , major , meeting , career , bargain , chimney .
Before the meeting , Mary wrote down the following lists of words . One was : summer , bottom , meaning , campaign , voyage , cannon , helmet , thunder , hatred , stanza . And the other : rifle , vessel , robber , banner , kitten , lemon , failure , princess , painter , bullet .
Before the meeting , Mary wrote down the following lists of words . One was : stanza , summer , bottom , meaning , campaign , voyage , cannon , helmet , thunder , hatred . And the other : merit , autumn , lumber , research , resort , rival , village , shipping , beauty , football .
Before the meeting , Mary wrote down the following lists of words . One was : hatred , stanza , summer , bottom , meaning , campaign , voyage , cannon , helmet , thunder . And the other : tribute , victim , lily , witness , widow , image , butcher , anchor , scholar , compound .
Before the meeting , Mary wrote down the following lists of words . One was : thunder , hatred , stanza , summer , bottom , meaning , campaign , voyage , cannon , helmet . And the other : engine , timber , harbour , party , level , money , single , system , unit , traitor .
Before the meeting , Mary wrote down the following lists of words . One was : helmet , thunder , hatred , stanza , summer , bottom , meaning , campaign , voyage , cannon . And the other : captain , tunnel , method , wagon , effect , arrow , sailor , matter , darkness , scatter .
Before the meeting , Mary wrote down the following lists of words . One was : cannon , helmet , thunder , hatred , stanza , summer , bottom , meaning , campaign , voyage . And the other : tiger , author , sorrow , parlor , acre , fortune , motive , question , service , minute .
Before the meeting , Mary wrote down the following lists of words . One was : voyage , cannon , helmet , thunder , hatred , stanza , summer , bottom , meaning , campaign . And the other : vapor , shepherd , sickness , herald , value , mission , finger , building , county , muscle .
Before the meeting , Mary wrote down the following lists of words . One was : campaign , voyage , cannon , helmet , thunder , hatred , stanza , summer , bottom , meaning . And the other : letter , acid , stocking , olive , garden , feeling , motion , compass , model , orange .
Before the meeting , Mary wrote down the following lists of words . One was : meaning , campaign , voyage , cannon , helmet , thunder , hatred , stanza , summer , bottom . And the other : pattern , leader , culture , worker , master , meadow , writer , apple , costume , pleasure .
Before the meeting , Mary wrote down the following lists of words . One was : bottom , meaning , campaign , voyage , cannon , helmet , thunder , hatred , stanza , summer . And the other : silence , candy , window , detail , ocean , program , traffic , feather , array , pilot .
Before the meeting , Mary wrote down the following lists of words . One was : effort , province , parcel , temple , river , major , meeting , career , bargain , chimney . And the other : belief , factor , total , comrade , angle , battle , pistol , nothing , riches , paper .
Before the meeting , Mary wrote down the following lists of words . One was : chimney , effort , province , parcel , temple , river , major , meeting , career , bargain . And the other : chapter , quarter , button , turkey , surface , writing , pocket , training , circuit , cousin .
Before the meeting , Mary wrote down the following lists of words . One was : bargain , chimney , effort , province , parcel , temple , river , major , meeting , career . And the other : village , shipping , beauty , football , merit , autumn , lumber , research , resort , rival .
Before the meeting , Mary wrote down the following lists of words . One was : career , bargain , chimney , effort , province , parcel , temple , river , major , meeting . And the other : program , traffic , feather , array , pilot , silence , candy , window , detail , ocean .
Before the meeting , Mary wrote down the following lists of words . One was : meeting , career , bargain , chimney , effort , province , parcel , temple , river , major . And the other : failure , princess , painter , bullet , rifle , vessel , robber , banner , kitten , lemon .
Before the meeting , Mary wrote down the following lists of words . One was : major , meeting , career , bargain , chimney , effort , province , parcel , temple , river . And the other : method , wagon , effect , arrow , sailor , matter , darkness , scatter , captain , tunnel .
Before the meeting , Mary wrote down the following lists of words . One was : river , major , meeting , career , bargain , chimney , effort , province , parcel , temple . And the other : pillow , aspect , chairman , marble , horror , justice , danger , bedroom , canal , dragon .
Before the meeting , Mary wrote down the following lists of words . One was : temple , river , major , meeting , career , bargain , chimney , effort , province , parcel . And the other : compass , model , orange , letter , acid , stocking , olive , garden , feeling , motion .
Before the meeting , Mary wrote down the following lists of words . One was : parcel , temple , river , major , meeting , career , bargain , chimney , effort , province . And the other : marble , horror , justice , danger , bedroom , canal , dragon , pillow , aspect , chairman .
Before the meeting , Mary wrote down the following lists of words . One was : province , parcel , temple , river , major , meeting , career , bargain , chimney , effort . And the other : theory , person , season , supper , reason , patent , picture , custom , twilight , island .
Before the meeting , Mary wrote down the following lists of words . One was : acre , fortune , motive , question , service , minute , tiger , author , sorrow , parlor . And the other : feather , array , pilot , silence , candy , window , detail , ocean , program , traffic .
Before the meeting , Mary wrote down the following lists of words . One was : parlor , acre , fortune , motive , question , service , minute , tiger , author , sorrow . And the other : product , echo , pepper , fountain , music , oven , patient , daughter , bubble , colour .
Before the meeting , Mary wrote down the following lists of words . One was : sorrow , parlor , acre , fortune , motive , question , service , minute , tiger , author . And the other : leader , culture , worker , master , meadow , writer , apple , costume , pleasure , pattern .
Before the meeting , Mary wrote down the following lists of words . One was : author , sorrow , parlor , acre , fortune , motive , question , service , minute , tiger . And the other : apple , costume , pleasure , pattern , leader , culture , worker , master , meadow , writer .
Before the meeting , Mary wrote down the following lists of words . One was : tiger , author , sorrow , parlor , acre , fortune , motive , question , service , minute . And the other : value , mission , finger , building , county , muscle , vapor , shepherd , sickness , herald .
Before the meeting , Mary wrote down the following lists of words . One was : minute , tiger , author , sorrow , parlor , acre , fortune , motive , question , service . And the other : movie , women , canoe , novel , folly , silver , eagle , center , patience , notion .
Before the meeting , Mary wrote down the following lists of words . One was : service , minute , tiger , author , sorrow , parlor , acre , fortune , motive , question . And the other : sailor , matter , darkness , scatter , captain , tunnel , method , wagon , effect , arrow .
Before the meeting , Mary wrote down the following lists of words . One was : question , service , minute , tiger , author , sorrow , parlor , acre , fortune , motive . And the other : resort , rival , village , shipping , beauty , football , merit , autumn , lumber , research .
Before the meeting , Mary wrote down the following lists of words . One was : motive , question , service , minute , tiger , author , sorrow , parlor , acre , fortune . And the other : comrade , angle , battle , pistol , nothing , riches , paper , belief , factor , total .
Before the meeting , Mary wrote down the following lists of words . One was : fortune , motive , question , service , minute , tiger , author , sorrow , parlor , acre . And the other : circuit , cousin , chapter , quarter , button , turkey , surface , writing , pocket , training .
Before the meeting , Mary wrote down the following lists of words . One was : motor , lawyer , powder , habit , mountain , district , learning , leather , hero , water . And the other : patent , picture , custom , twilight , island , theory , person , season , supper , reason .
Before the meeting , Mary wrote down the following lists of words . One was : water , motor , lawyer , powder , habit , mountain , district , learning , leather , hero . And the other : patient , daughter , bubble , colour , product , echo , pepper , fountain , music , oven .
Before the meeting , Mary wrote down the following lists of words . One was : hero , water , motor , lawyer , powder , habit , mountain , district , learning , leather . And the other : cottage , cotton , judgment , blanket , marriage , ticket , baby , treasure , event , weakness .
Before the meeting , Mary wrote down the following lists of words . One was : leather , hero , water , motor , lawyer , powder , habit , mountain , district , learning . And the other : paper , belief , factor , total , comrade , angle , battle , pistol , nothing , riches .
Before the meeting , Mary wrote down the following lists of words . One was : learning , leather , hero , water , motor , lawyer , powder , habit , mountain , district . And the other : folly , silver , eagle , center , patience , notion , movie , women , canoe , novel .
Before the meeting , Mary wrote down the following lists of words . One was : district , learning , leather , hero , water , motor , lawyer , powder , habit , mountain . And the other : image , butcher , anchor , scholar , compound , tribute , victim , lily , witness , widow .
Before the meeting , Mary wrote down the following lists of words . One was : mountain , district , learning , leather , hero , water , motor , lawyer , powder , habit . And the other : array , pilot , silence , candy , window , detail , ocean , program , traffic , feather .
Before the meeting , Mary wrote down the following lists of words . One was : habit , mountain , district , learning , leather , hero , water , motor , lawyer , powder . And the other : helmet , thunder , hatred , stanza , summer , bottom , meaning , campaign , voyage , cannon .
Before the meeting , Mary wrote down the following lists of words . One was : powder , habit , mountain , district , learning , leather , hero , water , motor , lawyer . And the other : attack , prison , butter , interest , colonel , commerce , beggar , iron , onion , opera .
Before the meeting , Mary wrote down the following lists of words . One was : lawyer , powder , habit , mountain , district , learning , leather , hero , water , motor . And the other : muscle , vapor , shepherd , sickness , herald , value , mission , finger , building , county .
Before the meeting , Mary wrote down the following lists of words . One was : orange , letter , acid , stocking , olive , garden , feeling , motion , compass , model . And the other : pistol , nothing , riches , paper , belief , factor , total , comrade , angle , battle .
Before the meeting , Mary wrote down the following lists of words . One was : model , orange , letter , acid , stocking , olive , garden , feeling , motion , compass . And the other : learning , leather , hero , water , motor , lawyer , powder , habit , mountain , district .
Before the meeting , Mary wrote down the following lists of words . One was : compass , model , orange , letter , acid , stocking , olive , garden , feeling , motion . And the other : autumn , lumber , research , resort , rival , village , shipping , beauty , football , merit .
Before the meeting , Mary wrote down the following lists of words . One was : motion , compass , model , orange , letter , acid , stocking , olive , garden , feeling . And the other : ocean , program , traffic , feather , array , pilot , silence , candy , window , detail .
Before the meeting , Mary wrote down the following lists of words . One was : feeling , motion , compass , model , orange , letter , acid , stocking , olive , garden . And the other : lemon , failure , princess , painter , bullet , rifle , vessel , robber , banner , kitten .
Before the meeting , Mary wrote down the following lists of words . One was : garden , feeling , motion , compass , model , orange , letter , acid , stocking , olive . And the other : horror , justice , danger , bedroom , canal , dragon , pillow , aspect , chairman , marble .
Before the meeting , Mary wrote down the following lists of words . One was : olive , garden , feeling , motion , compass , model , orange , letter , acid , stocking . And the other : cannon , helmet , thunder , hatred , stanza , summer , bottom , meaning , campaign , voyage .
Before the meeting , Mary wrote down the following lists of words . One was : stocking , olive , garden , feeling , motion , compass , model , orange , letter , acid . And the other : autumn , lumber , research , resort , rival , village , shipping , beauty , football , merit .
Before the meeting , Mary wrote down the following lists of words . One was : acid , stocking , olive , garden , feeling , motion , compass , model , orange , letter . And the other : monarch , kindness , lover , copy , soldier , kingdom , cabin , doorway , candle , parent .
Before the meeting , Mary wrote down the following lists of words . One was : letter , acid , stocking , olive , garden , feeling , motion , compass , model , orange . And the other : kindness , lover , copy , soldier , kingdom , cabin , doorway , candle , parent , monarch .
Before the meeting , Mary wrote down the following lists of words . One was : island , theory , person , season , supper , reason , patent , picture , custom , twilight . And the other : justice , danger , bedroom , canal , dragon , pillow , aspect , chairman , marble , horror .
Before the meeting , Mary wrote down the following lists of words . One was : twilight , island , theory , person , season , supper , reason , patent , picture , custom . And the other : mission , finger , building , county , muscle , vapor , shepherd , sickness , herald , value .
Before the meeting , Mary wrote down the following lists of words . One was : custom , twilight , island , theory , person , season , supper , reason , patent , picture . And the other : training , circuit , cousin , chapter , quarter , button , turkey , surface , writing , pocket .
Before the meeting , Mary wrote down the following lists of words . One was : picture , custom , twilight , island , theory , person , season , supper , reason , patent . And the other : anchor , scholar , compound , tribute , victim , lily , witness , widow , image , butcher .
Before the meeting , Mary wrote down the following lists of words . One was : patent , picture , custom , twilight , island , theory , person , season , supper , reason . And the other : turkey , surface , writing , pocket , training , circuit , cousin , chapter , quarter , button .
Before the meeting , Mary wrote down the following lists of words . One was : reason , patent , picture , custom , twilight , island , theory , person , season , supper . And the other : party , level , money , single , system , unit , traitor , engine , timber , harbour .
Before the meeting , Mary wrote down the following lists of words . One was : supper , reason , patent , picture , custom , twilight , island , theory , person , season . And the other : stanza , summer , bottom , meaning , campaign , voyage , cannon , helmet , thunder , hatred .
Before the meeting , Mary wrote down the following lists of words . One was : season , supper , reason , patent , picture , custom , twilight , island , theory , person . And the other : shipping , beauty , football , merit , autumn , lumber , research , resort , rival , village .
Before the meeting , Mary wrote down the following lists of words . One was : person , season , supper , reason , patent , picture , custom , twilight , island , theory . And the other : canvas , chamber , future , legend , problem , flavor , prairie , forehead , illness , planet .
Before the meeting , Mary wrote down the following lists of words . One was : theory , person , season , supper , reason , patent , picture , custom , twilight , island . And the other : olive , garden , feeling , motion , compass , model , orange , letter , acid , stocking .
Before the meeting , Mary wrote down the following lists of words . One was : dragon , pillow , aspect , chairman , marble , horror , justice , danger , bedroom , canal . And the other : eagle , center , patience , notion , movie , women , canoe , novel , folly , silver .
Before the meeting , Mary wrote down the following lists of words . One was : canal , dragon , pillow , aspect , chairman , marble , horror , justice , danger , bedroom . And the other : commerce , beggar , iron , onion , opera , attack , prison , butter , interest , colonel .
Before the meeting , Mary wrote down the following lists of words . One was : bedroom , canal , dragon , pillow , aspect , chairman , marble , horror , justice , danger . And the other : detail , ocean , program , traffic , feather , array , pilot , silence , candy , window .
Before the meeting , Mary wrote down the following lists of words . One was : danger , bedroom , canal , dragon , pillow , aspect , chairman , marble , horror , justice . And the other : darkness , scatter , captain , tunnel , method , wagon , effect , arrow , sailor , matter .
Before the meeting , Mary wrote down the following lists of words . One was : justice , danger , bedroom , canal , dragon , pillow , aspect , chairman , marble , horror . And the other : colonel , commerce , beggar , iron , onion , opera , attack , prison , butter , interest .
Before the meeting , Mary wrote down the following lists of words . One was : horror , justice , danger , bedroom , canal , dragon , pillow , aspect , chairman , marble . And the other : arrow , sailor , matter , darkness , scatter , captain , tunnel , method , wagon , effect .
Before the meeting , Mary wrote down the following lists of words . One was : marble , horror , justice , danger , bedroom , canal , dragon , pillow , aspect , chairman . And the other : planet , canvas , chamber , future , legend , problem , flavor , prairie , forehead , illness .
Before the meeting , Mary wrote down the following lists of words . One was : chairman , marble , horror , justice , danger , bedroom , canal , dragon , pillow , aspect . And the other : sickness , herald , value , mission , finger , building , county , muscle , vapor , shepherd .
Before the meeting , Mary wrote down the following lists of words . One was : aspect , chairman , marble , horror , justice , danger , bedroom , canal , dragon , pillow . And the other : matter , darkness , scatter , captain , tunnel , method , wagon , effect , arrow , sailor .
Before the meeting , Mary wrote down the following lists of words . One was : pillow , aspect , chairman , marble , horror , justice , danger , bedroom , canal , dragon . And the other : harbour , party , level , money , single , system , unit , traitor , engine , timber .
Before the meeting , Mary wrote down the following lists of words . One was : writing , pocket , training , circuit , cousin , chapter , quarter , button , turkey , surface . And the other : canal , dragon , pillow , aspect , chairman , marble , horror , justice , danger , bedroom .
Before the meeting , Mary wrote down the following lists of words . One was : surface , writing , pocket , training , circuit , cousin , chapter , quarter , button , turkey . And the other : center , patience , notion , movie , women , canoe , novel , folly , silver , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : turkey , surface , writing , pocket , training , circuit , cousin , chapter , quarter , button . And the other : future , legend , problem , flavor , prairie , forehead , illness , planet , canvas , chamber .
Before the meeting , Mary wrote down the following lists of words . One was : button , turkey , surface , writing , pocket , training , circuit , cousin , chapter , quarter . And the other : river , major , meeting , career , bargain , chimney , effort , province , parcel , temple .
Before the meeting , Mary wrote down the following lists of words . One was : quarter , button , turkey , surface , writing , pocket , training , circuit , cousin , chapter . And the other : culture , worker , master , meadow , writer , apple , costume , pleasure , pattern , leader .
Before the meeting , Mary wrote down the following lists of words . One was : chapter , quarter , button , turkey , surface , writing , pocket , training , circuit , cousin . And the other : feeling , motion , compass , model , orange , letter , acid , stocking , olive , garden .
Before the meeting , Mary wrote down the following lists of words . One was : cousin , chapter , quarter , button , turkey , surface , writing , pocket , training , circuit . And the other : beauty , football , merit , autumn , lumber , research , resort , rival , village , shipping .
Before the meeting , Mary wrote down the following lists of words . One was : circuit , cousin , chapter , quarter , button , turkey , surface , writing , pocket , training . And the other : chairman , marble , horror , justice , danger , bedroom , canal , dragon , pillow , aspect .
Before the meeting , Mary wrote down the following lists of words . One was : training , circuit , cousin , chapter , quarter , button , turkey , surface , writing , pocket . And the other : painter , bullet , rifle , vessel , robber , banner , kitten , lemon , failure , princess .
Before the meeting , Mary wrote down the following lists of words . One was : pocket , training , circuit , cousin , chapter , quarter , button , turkey , surface , writing . And the other : princess , painter , bullet , rifle , vessel , robber , banner , kitten , lemon , failure .
Before the meeting , Mary wrote down the following lists of words . One was : sailor , matter , darkness , scatter , captain , tunnel , method , wagon , effect , arrow . And the other : timber , harbour , party , level , money , single , system , unit , traitor , engine .
Before the meeting , Mary wrote down the following lists of words . One was : arrow , sailor , matter , darkness , scatter , captain , tunnel , method , wagon , effect . And the other : football , merit , autumn , lumber , research , resort , rival , village , shipping , beauty .
Before the meeting , Mary wrote down the following lists of words . One was : effect , arrow , sailor , matter , darkness , scatter , captain , tunnel , method , wagon . And the other : powder , habit , mountain , district , learning , leather , hero , water , motor , lawyer .
Before the meeting , Mary wrote down the following lists of words . One was : wagon , effect , arrow , sailor , matter , darkness , scatter , captain , tunnel , method . And the other : writing , pocket , training , circuit , cousin , chapter , quarter , button , turkey , surface .
Before the meeting , Mary wrote down the following lists of words . One was : method , wagon , effect , arrow , sailor , matter , darkness , scatter , captain , tunnel . And the other : shepherd , sickness , herald , value , mission , finger , building , county , muscle , vapor .
Before the meeting , Mary wrote down the following lists of words . One was : tunnel , method , wagon , effect , arrow , sailor , matter , darkness , scatter , captain . And the other : echo , pepper , fountain , music , oven , patient , daughter , bubble , colour , product .
Before the meeting , Mary wrote down the following lists of words . One was : captain , tunnel , method , wagon , effect , arrow , sailor , matter , darkness , scatter . And the other : rival , village , shipping , beauty , football , merit , autumn , lumber , research , resort .
Before the meeting , Mary wrote down the following lists of words . One was : scatter , captain , tunnel , method , wagon , effect , arrow , sailor , matter , darkness . And the other : cousin , chapter , quarter , button , turkey , surface , writing , pocket , training , circuit .
Before the meeting , Mary wrote down the following lists of words . One was : darkness , scatter , captain , tunnel , method , wagon , effect , arrow , sailor , matter . And the other : master , meadow , writer , apple , costume , pleasure , pattern , leader , culture , worker .
Before the meeting , Mary wrote down the following lists of words . One was : matter , darkness , scatter , captain , tunnel , method , wagon , effect , arrow , sailor . And the other : temple , river , major , meeting , career , bargain , chimney , effort , province , parcel .
Before the meeting , Mary wrote down the following lists of words . One was : image , butcher , anchor , scholar , compound , tribute , victim , lily , witness , widow . And the other : pilot , silence , candy , window , detail , ocean , program , traffic , feather , array .
Before the meeting , Mary wrote down the following lists of words . One was : widow , image , butcher , anchor , scholar , compound , tribute , victim , lily , witness . And the other : factor , total , comrade , angle , battle , pistol , nothing , riches , paper , belief .
Before the meeting , Mary wrote down the following lists of words . One was : witness , widow , image , butcher , anchor , scholar , compound , tribute , victim , lily . And the other : cotton , judgment , blanket , marriage , ticket , baby , treasure , event , weakness , cottage .
Before the meeting , Mary wrote down the following lists of words . One was : lily , witness , widow , image , butcher , anchor , scholar , compound , tribute , victim . And the other : fortune , motive , question , service , minute , tiger , author , sorrow , parlor , acre .
Before the meeting , Mary wrote down the following lists of words . One was : victim , lily , witness , widow , image , butcher , anchor , scholar , compound , tribute . And the other : fountain , music , oven , patient , daughter , bubble , colour , product , echo , pepper .
Before the meeting , Mary wrote down the following lists of words . One was : tribute , victim , lily , witness , widow , image , butcher , anchor , scholar , compound . And the other : supper , reason , patent , picture , custom , twilight , island , theory , person , season .
Before the meeting , Mary wrote down the following lists of words . One was : compound , tribute , victim , lily , witness , widow , image , butcher , anchor , scholar . And the other : bullet , rifle , vessel , robber , banner , kitten , lemon , failure , princess , painter .
Before the meeting , Mary wrote down the following lists of words . One was : scholar , compound , tribute , victim , lily , witness , widow , image , butcher , anchor . And the other : blanket , marriage , ticket , baby , treasure , event , weakness , cottage , cotton , judgment .
Before the meeting , Mary wrote down the following lists of words . One was : anchor , scholar , compound , tribute , victim , lily , witness , widow , image , butcher . And the other : finger , building , county , muscle , vapor , shepherd , sickness , herald , value , mission .
Before the meeting , Mary wrote down the following lists of words . One was : butcher , anchor , scholar , compound , tribute , victim , lily , witness , widow , image . And the other : butter , interest , colonel , commerce , beggar , iron , onion , opera , attack , prison .
Before the meeting , Mary wrote down the following lists of words . One was : candy , window , detail , ocean , program , traffic , feather , array , pilot , silence . And the other : motion , compass , model , orange , letter , acid , stocking , olive , garden , feeling .
Before the meeting , Mary wrote down the following lists of words . One was : silence , candy , window , detail , ocean , program , traffic , feather , array , pilot . And the other : daughter , bubble , colour , product , echo , pepper , fountain , music , oven , patient .
Before the meeting , Mary wrote down the following lists of words . One was : pilot , silence , candy , window , detail , ocean , program , traffic , feather , array . And the other : button , turkey , surface , writing , pocket , training , circuit , cousin , chapter , quarter .
