Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : sparrow , heron , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : plane , chisel , ruler , wrench , drill , screws , hammer , saw , nails , level . And the other : cod , carp , pike , trout , shark , herring , perch , salmon , tuna , goldfish .
Before the meeting , Mary wrote down the following lists of words . One was : level , plane , chisel , ruler , wrench , drill , screws , hammer , saw , nails . And the other : finger , ear , hand , toe , leg , arms , head , eye , foot , nose .
Before the meeting , Mary wrote down the following lists of words . One was : nails , level , plane , chisel , ruler , wrench , drill , screws , hammer , saw . And the other : elephant , pig , bear , mouse , log , cat , horse , cow , lion , tiger .
Before the meeting , Mary wrote down the following lists of words . One was : saw , nails , level , plane , chisel , ruler , wrench , drill , screws , hammer . And the other : fork , pan , pot , stove , bowl , mixer , cup , dish , knife , spoon .
Before the meeting , Mary wrote down the following lists of words . One was : hurricane , tornado , rain , snow , hail , storm , wind , cyclone , clouds , sunshine . And the other : felt , cotton , wool , silk , rayon , linen , satin , velvet , denim , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : sunshine , hurricane , tornado , rain , snow , hail , storm , wind , cyclone , clouds . And the other : pear , banana , peach , grape , cherry , plum , grapefruit , lemon , apricot , apple .
Before the meeting , Mary wrote down the following lists of words . One was : clouds , sunshine , hurricane , tornado , rain , snow , hail , storm , wind , cyclone . And the other : psychologist , doctor , lawyer , teacher , dentist , engineer , professor , carpenter , salesman , nurse .
Before the meeting , Mary wrote down the following lists of words . One was : cyclone , clouds , sunshine , hurricane , tornado , rain , snow , hail , storm , wind . And the other : floor , ceiling , room , basement , hearth , hall , window , door , roof , wall .
Before the meeting , Mary wrote down the following lists of words . One was : wind , cyclone , clouds , sunshine , hurricane , tornado , rain , snow , hail , storm . And the other : spoon , fork , pan , pot , stove , bowl , mixer , cup , dish , knife .
Before the meeting , Mary wrote down the following lists of words . One was : storm , wind , cyclone , clouds , sunshine , hurricane , tornado , rain , snow , hail . And the other : goldfish , cod , carp , pike , trout , shark , herring , perch , salmon , tuna .
Before the meeting , Mary wrote down the following lists of words . One was : hail , storm , wind , cyclone , clouds , sunshine , hurricane , tornado , rain , snow . And the other : cruiser , submarine , yacht , canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship .
Before the meeting , Mary wrote down the following lists of words . One was : snow , hail , storm , wind , cyclone , clouds , sunshine , hurricane , tornado , rain . And the other : foot , nose , finger , ear , hand , toe , leg , arms , head , eye .
Before the meeting , Mary wrote down the following lists of words . One was : rain , snow , hail , storm , wind , cyclone , clouds , sunshine , hurricane , tornado . And the other : physics , psychology , biology , zoology , botany , astronomy , mathematics , geology , microbiology , chemistry .
Before the meeting , Mary wrote down the following lists of words . One was : tornado , rain , snow , hail , storm , wind , cyclone , clouds , sunshine , hurricane . And the other : wrench , drill , screws , hammer , saw , nails , level , plane , chisel , ruler .
Before the meeting , Mary wrote down the following lists of words . One was : oxygen , hydrogen , nitrogen , carbon , sodium , sulphur , helium , chlorine , calcium , potassium . And the other : green , yellow , black , purple , white , pink , brown , blonde , blue , red .
Before the meeting , Mary wrote down the following lists of words . One was : potassium , oxygen , hydrogen , nitrogen , carbon , sodium , sulphur , helium , chlorine , calcium . And the other : salesman , nurse , psychologist , doctor , lawyer , teacher , dentist , engineer , professor , carpenter .
Before the meeting , Mary wrote down the following lists of words . One was : calcium , potassium , oxygen , hydrogen , nitrogen , carbon , sodium , sulphur , helium , chlorine . And the other : wind , cyclone , clouds , sunshine , hurricane , tornado , rain , snow , hail , storm .
Before the meeting , Mary wrote down the following lists of words . One was : chlorine , calcium , potassium , oxygen , hydrogen , nitrogen , carbon , sodium , sulphur , helium . And the other : psychology , biology , zoology , botany , astronomy , mathematics , geology , microbiology , chemistry , physics .
Before the meeting , Mary wrote down the following lists of words . One was : helium , chlorine , calcium , potassium , oxygen , hydrogen , nitrogen , carbon , sodium , sulphur . And the other : vulture , robin , sparrow , heron , eagle , crow , hawk , parrot , pigeon , woodpecker .
Before the meeting , Mary wrote down the following lists of words . One was : sulphur , helium , chlorine , calcium , potassium , oxygen , hydrogen , nitrogen , carbon , sodium . And the other : denim , canvas , felt , cotton , wool , silk , rayon , linen , satin , velvet .
Before the meeting , Mary wrote down the following lists of words . One was : sodium , sulphur , helium , chlorine , calcium , potassium , oxygen , hydrogen , nitrogen , carbon . And the other : leg , arms , head , eye , foot , nose , finger , ear , hand , toe .
Before the meeting , Mary wrote down the following lists of words . One was : carbon , sodium , sulphur , helium , chlorine , calcium , potassium , oxygen , hydrogen , nitrogen . And the other : doctor , lawyer , teacher , dentist , engineer , professor , carpenter , salesman , nurse , psychologist .
Before the meeting , Mary wrote down the following lists of words . One was : nitrogen , carbon , sodium , sulphur , helium , chlorine , calcium , potassium , oxygen , hydrogen . And the other : trumpet , violin , clarinet , flute , guitar , saxophone , trombone , oboe , piano , drum .
Before the meeting , Mary wrote down the following lists of words . One was : hydrogen , nitrogen , carbon , sodium , sulphur , helium , chlorine , calcium , potassium , oxygen . And the other : mouse , log , cat , horse , cow , lion , tiger , elephant , pig , bear .
Before the meeting , Mary wrote down the following lists of words . One was : chemistry , physics , psychology , biology , zoology , botany , astronomy , mathematics , geology , microbiology . And the other : window , door , roof , wall , floor , ceiling , room , basement , hearth , hall .
Before the meeting , Mary wrote down the following lists of words . One was : microbiology , chemistry , physics , psychology , biology , zoology , botany , astronomy , mathematics , geology . And the other : velvet , denim , canvas , felt , cotton , wool , silk , rayon , linen , satin .
Before the meeting , Mary wrote down the following lists of words . One was : geology , microbiology , chemistry , physics , psychology , biology , zoology , botany , astronomy , mathematics . And the other : banana , peach , grape , cherry , plum , grapefruit , lemon , apricot , apple , pear .
Before the meeting , Mary wrote down the following lists of words . One was : mathematics , geology , microbiology , chemistry , physics , psychology , biology , zoology , botany , astronomy . And the other : basement , hearth , hall , window , door , roof , wall , floor , ceiling , room .
Before the meeting , Mary wrote down the following lists of words . One was : astronomy , mathematics , geology , microbiology , chemistry , physics , psychology , biology , zoology , botany . And the other : door , roof , wall , floor , ceiling , room , basement , hearth , hall , window .
Before the meeting , Mary wrote down the following lists of words . One was : botany , astronomy , mathematics , geology , microbiology , chemistry , physics , psychology , biology , zoology . And the other : fly , ant , bee , mosquito , spider , beetle , wasp , moth , flea , butterfly .
Before the meeting , Mary wrote down the following lists of words . One was : zoology , botany , astronomy , mathematics , geology , microbiology , chemistry , physics , psychology , biology . And the other : level , plane , chisel , ruler , wrench , drill , screws , hammer , saw , nails .
Before the meeting , Mary wrote down the following lists of words . One was : biology , zoology , botany , astronomy , mathematics , geology , microbiology , chemistry , physics , psychology . And the other : cyclone , clouds , sunshine , hurricane , tornado , rain , snow , hail , storm , wind .
Before the meeting , Mary wrote down the following lists of words . One was : psychology , biology , zoology , botany , astronomy , mathematics , geology , microbiology , chemistry , physics . And the other : knife , spoon , fork , pan , pot , stove , bowl , mixer , cup , dish .
Before the meeting , Mary wrote down the following lists of words . One was : physics , psychology , biology , zoology , botany , astronomy , mathematics , geology , microbiology , chemistry . And the other : robin , sparrow , heron , eagle , crow , hawk , parrot , pigeon , woodpecker , vulture .
Before the meeting , Mary wrote down the following lists of words . One was : piano , drum , trumpet , violin , clarinet , flute , guitar , saxophone , trombone , oboe . And the other : badminton , football , baseball , basketball , tennis , swimming , soccer , golf , hockey , lacrosse .
Before the meeting , Mary wrote down the following lists of words . One was : oboe , piano , drum , trumpet , violin , clarinet , flute , guitar , saxophone , trombone . And the other : ear , hand , toe , leg , arms , head , eye , foot , nose , finger .
Before the meeting , Mary wrote down the following lists of words . One was : trombone , oboe , piano , drum , trumpet , violin , clarinet , flute , guitar , saxophone . And the other : cow , lion , tiger , elephant , pig , bear , mouse , log , cat , horse .
Before the meeting , Mary wrote down the following lists of words . One was : saxophone , trombone , oboe , piano , drum , trumpet , violin , clarinet , flute , guitar . And the other : beetle , wasp , moth , flea , butterfly , fly , ant , bee , mosquito , spider .
Before the meeting , Mary wrote down the following lists of words . One was : guitar , saxophone , trombone , oboe , piano , drum , trumpet , violin , clarinet , flute . And the other : beetle , wasp , moth , flea , butterfly , fly , ant , bee , mosquito , spider .
Before the meeting , Mary wrote down the following lists of words . One was : flute , guitar , saxophone , trombone , oboe , piano , drum , trumpet , violin , clarinet . And the other : soccer , golf , hockey , lacrosse , badminton , football , baseball , basketball , tennis , swimming .
Before the meeting , Mary wrote down the following lists of words . One was : clarinet , flute , guitar , saxophone , trombone , oboe , piano , drum , trumpet , violin . And the other : sulphur , helium , chlorine , calcium , potassium , oxygen , hydrogen , nitrogen , carbon , sodium .
Before the meeting , Mary wrote down the following lists of words . One was : violin , clarinet , flute , guitar , saxophone , trombone , oboe , piano , drum , trumpet . And the other : cat , horse , cow , lion , tiger , elephant , pig , bear , mouse , log .
Before the meeting , Mary wrote down the following lists of words . One was : trumpet , violin , clarinet , flute , guitar , saxophone , trombone , oboe , piano , drum . And the other : canvas , felt , cotton , wool , silk , rayon , linen , satin , velvet , denim .
Before the meeting , Mary wrote down the following lists of words . One was : drum , trumpet , violin , clarinet , flute , guitar , saxophone , trombone , oboe , piano . And the other : trout , shark , herring , perch , salmon , tuna , goldfish , cod , carp , pike .
Before the meeting , Mary wrote down the following lists of words . One was : knife , spoon , fork , pan , pot , stove , bowl , mixer , cup , dish . And the other : blonde , blue , red , green , yellow , black , purple , white , pink , brown .
Before the meeting , Mary wrote down the following lists of words . One was : dish , knife , spoon , fork , pan , pot , stove , bowl , mixer , cup . And the other : hail , storm , wind , cyclone , clouds , sunshine , hurricane , tornado , rain , snow .
Before the meeting , Mary wrote down the following lists of words . One was : cup , dish , knife , spoon , fork , pan , pot , stove , bowl , mixer . And the other : tiger , elephant , pig , bear , mouse , log , cat , horse , cow , lion .
Before the meeting , Mary wrote down the following lists of words . One was : mixer , cup , dish , knife , spoon , fork , pan , pot , stove , bowl . And the other : cotton , wool , silk , rayon , linen , satin , velvet , denim , canvas , felt .
Before the meeting , Mary wrote down the following lists of words . One was : bowl , mixer , cup , dish , knife , spoon , fork , pan , pot , stove . And the other : assault , arson , kidnapping , larceny , adultery , battery , murder , rape , robbery , theft .
Before the meeting , Mary wrote down the following lists of words . One was : stove , bowl , mixer , cup , dish , knife , spoon , fork , pan , pot . And the other : golf , hockey , lacrosse , badminton , football , baseball , basketball , tennis , swimming , soccer .
Before the meeting , Mary wrote down the following lists of words . One was : pot , stove , bowl , mixer , cup , dish , knife , spoon , fork , pan . And the other : nitrogen , carbon , sodium , sulphur , helium , chlorine , calcium , potassium , oxygen , hydrogen .
Before the meeting , Mary wrote down the following lists of words . One was : pan , pot , stove , bowl , mixer , cup , dish , knife , spoon , fork . And the other : maple , pine , elm , birch , spruce , redwood , walnut , fir , hickory , oak .
Before the meeting , Mary wrote down the following lists of words . One was : fork , pan , pot , stove , bowl , mixer , cup , dish , knife , spoon . And the other : arms , head , eye , foot , nose , finger , ear , hand , toe , leg .
Before the meeting , Mary wrote down the following lists of words . One was : spoon , fork , pan , pot , stove , bowl , mixer , cup , dish , knife . And the other : butterfly , fly , ant , bee , mosquito , spider , beetle , wasp , moth , flea .
Before the meeting , Mary wrote down the following lists of words . One was : trout , shark , herring , perch , salmon , tuna , goldfish , cod , carp , pike . And the other : destroyer , battleship , cruiser , submarine , yacht , canoe , freighter , tugboat , steamship , sailboat .
Before the meeting , Mary wrote down the following lists of words . One was : pike , trout , shark , herring , perch , salmon , tuna , goldfish , cod , carp . And the other : lake , canyon , tundra , ocean , cave , mountain , hill , valley , river , rock .
Before the meeting , Mary wrote down the following lists of words . One was : carp , pike , trout , shark , herring , perch , salmon , tuna , goldfish , cod . And the other : hurricane , tornado , rain , snow , hail , storm , wind , cyclone , clouds , sunshine .
Before the meeting , Mary wrote down the following lists of words . One was : cod , carp , pike , trout , shark , herring , perch , salmon , tuna , goldfish . And the other : spider , beetle , wasp , moth , flea , butterfly , fly , ant , bee , mosquito .
Before the meeting , Mary wrote down the following lists of words . One was : goldfish , cod , carp , pike , trout , shark , herring , perch , salmon , tuna . And the other : purple , white , pink , brown , blonde , blue , red , green , yellow , black .
Before the meeting , Mary wrote down the following lists of words . One was : tuna , goldfish , cod , carp , pike , trout , shark , herring , perch , salmon . And the other : kidnapping , larceny , adultery , battery , murder , rape , robbery , theft , assault , arson .
Before the meeting , Mary wrote down the following lists of words . One was : salmon , tuna , goldfish , cod , carp , pike , trout , shark , herring , perch . And the other : measles , tuberculosis , polio , malaria , leukemia , pneumonia , smallpox , influenza , encephalitis , cancer .
Before the meeting , Mary wrote down the following lists of words . One was : perch , salmon , tuna , goldfish , cod , carp , pike , trout , shark , herring . And the other : fir , hickory , oak , maple , pine , elm , birch , spruce , redwood , walnut .
Before the meeting , Mary wrote down the following lists of words . One was : herring , perch , salmon , tuna , goldfish , cod , carp , pike , trout , shark . And the other : malaria , leukemia , pneumonia , smallpox , influenza , encephalitis , cancer , measles , tuberculosis , polio .
Before the meeting , Mary wrote down the following lists of words . One was : shark , herring , perch , salmon , tuna , goldfish , cod , carp , pike , trout . And the other : socks , pants , shoes , blouse , skirt , coat , dress , hat , sweater , shirt .
Before the meeting , Mary wrote down the following lists of words . One was : football , baseball , basketball , tennis , swimming , soccer , golf , hockey , lacrosse , badminton . And the other : wasp , moth , flea , butterfly , fly , ant , bee , mosquito , spider , beetle .
Before the meeting , Mary wrote down the following lists of words . One was : badminton , football , baseball , basketball , tennis , swimming , soccer , golf , hockey , lacrosse . And the other : chisel , ruler , wrench , drill , screws , hammer , saw , nails , level , plane .
Before the meeting , Mary wrote down the following lists of words . One was : lacrosse , badminton , football , baseball , basketball , tennis , swimming , soccer , golf , hockey . And the other : head , eye , foot , nose , finger , ear , hand , toe , leg , arms .
Before the meeting , Mary wrote down the following lists of words . One was : hockey , lacrosse , badminton , football , baseball , basketball , tennis , swimming , soccer , golf . And the other : hand , toe , leg , arms , head , eye , foot , nose , finger , ear .
Before the meeting , Mary wrote down the following lists of words . One was : golf , hockey , lacrosse , badminton , football , baseball , basketball , tennis , swimming , soccer . And the other : helium , chlorine , calcium , potassium , oxygen , hydrogen , nitrogen , carbon , sodium , sulphur .
Before the meeting , Mary wrote down the following lists of words . One was : soccer , golf , hockey , lacrosse , badminton , football , baseball , basketball , tennis , swimming . And the other : roof , wall , floor , ceiling , room , basement , hearth , hall , window , door .
Before the meeting , Mary wrote down the following lists of words . One was : swimming , soccer , golf , hockey , lacrosse , badminton , football , baseball , basketball , tennis . And the other : murder , rape , robbery , theft , assault , arson , kidnapping , larceny , adultery , battery .
Before the meeting , Mary wrote down the following lists of words . One was : tennis , swimming , soccer , golf , hockey , lacrosse , badminton , football , baseball , basketball . And the other : clouds , sunshine , hurricane , tornado , rain , snow , hail , storm , wind , cyclone .
Before the meeting , Mary wrote down the following lists of words . One was : basketball , tennis , swimming , soccer , golf , hockey , lacrosse , badminton , football , baseball . And the other : submarine , yacht , canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser .
Before the meeting , Mary wrote down the following lists of words . One was : baseball , basketball , tennis , swimming , soccer , golf , hockey , lacrosse , badminton , football . And the other : river , rock , lake , canyon , tundra , ocean , cave , mountain , hill , valley .
Before the meeting , Mary wrote down the following lists of words . One was : doctor , lawyer , teacher , dentist , engineer , professor , carpenter , salesman , nurse , psychologist . And the other : coat , dress , hat , sweater , shirt , socks , pants , shoes , blouse , skirt .
Before the meeting , Mary wrote down the following lists of words . One was : psychologist , doctor , lawyer , teacher , dentist , engineer , professor , carpenter , salesman , nurse . And the other : saw , nails , level , plane , chisel , ruler , wrench , drill , screws , hammer .
Before the meeting , Mary wrote down the following lists of words . One was : nurse , psychologist , doctor , lawyer , teacher , dentist , engineer , professor , carpenter , salesman . And the other : saxophone , trombone , oboe , piano , drum , trumpet , violin , clarinet , flute , guitar .
Before the meeting , Mary wrote down the following lists of words . One was : salesman , nurse , psychologist , doctor , lawyer , teacher , dentist , engineer , professor , carpenter . And the other : sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe , freighter , tugboat , steamship .
Before the meeting , Mary wrote down the following lists of words . One was : carpenter , salesman , nurse , psychologist , doctor , lawyer , teacher , dentist , engineer , professor . And the other : room , basement , hearth , hall , window , door , roof , wall , floor , ceiling .
Before the meeting , Mary wrote down the following lists of words . One was : professor , carpenter , salesman , nurse , psychologist , doctor , lawyer , teacher , dentist , engineer . And the other : log , cat , horse , cow , lion , tiger , elephant , pig , bear , mouse .
Before the meeting , Mary wrote down the following lists of words . One was : engineer , professor , carpenter , salesman , nurse , psychologist , doctor , lawyer , teacher , dentist . And the other : moth , flea , butterfly , fly , ant , bee , mosquito , spider , beetle , wasp .
Before the meeting , Mary wrote down the following lists of words . One was : dentist , engineer , professor , carpenter , salesman , nurse , psychologist , doctor , lawyer , teacher . And the other : bowl , mixer , cup , dish , knife , spoon , fork , pan , pot , stove .
Before the meeting , Mary wrote down the following lists of words . One was : teacher , dentist , engineer , professor , carpenter , salesman , nurse , psychologist , doctor , lawyer . And the other : biology , zoology , botany , astronomy , mathematics , geology , microbiology , chemistry , physics , psychology .
Before the meeting , Mary wrote down the following lists of words . One was : lawyer , teacher , dentist , engineer , professor , carpenter , salesman , nurse , psychologist , doctor . And the other : hydrogen , nitrogen , carbon , sodium , sulphur , helium , chlorine , calcium , potassium , oxygen .
Before the meeting , Mary wrote down the following lists of words . One was : oak , maple , pine , elm , birch , spruce , redwood , walnut , fir , hickory . And the other : freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe .
Before the meeting , Mary wrote down the following lists of words . One was : hickory , oak , maple , pine , elm , birch , spruce , redwood , walnut , fir . And the other : carpenter , salesman , nurse , psychologist , doctor , lawyer , teacher , dentist , engineer , professor .
Before the meeting , Mary wrote down the following lists of words . One was : fir , hickory , oak , maple , pine , elm , birch , spruce , redwood , walnut . And the other : storm , wind , cyclone , clouds , sunshine , hurricane , tornado , rain , snow , hail .
Before the meeting , Mary wrote down the following lists of words . One was : walnut , fir , hickory , oak , maple , pine , elm , birch , spruce , redwood . And the other : mosquito , spider , beetle , wasp , moth , flea , butterfly , fly , ant , bee .
Before the meeting , Mary wrote down the following lists of words . One was : redwood , walnut , fir , hickory , oak , maple , pine , elm , birch , spruce . And the other : black , purple , white , pink , brown , blonde , blue , red , green , yellow .
Before the meeting , Mary wrote down the following lists of words . One was : spruce , redwood , walnut , fir , hickory , oak , maple , pine , elm , birch . And the other : leukemia , pneumonia , smallpox , influenza , encephalitis , cancer , measles , tuberculosis , polio , malaria .
Before the meeting , Mary wrote down the following lists of words . One was : birch , spruce , redwood , walnut , fir , hickory , oak , maple , pine , elm . And the other : stove , bowl , mixer , cup , dish , knife , spoon , fork , pan , pot .
Before the meeting , Mary wrote down the following lists of words . One was : elm , birch , spruce , redwood , walnut , fir , hickory , oak , maple , pine . And the other : storm , wind , cyclone , clouds , sunshine , hurricane , tornado , rain , snow , hail .
Before the meeting , Mary wrote down the following lists of words . One was : pine , elm , birch , spruce , redwood , walnut , fir , hickory , oak , maple . And the other : crow , hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow , heron , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : maple , pine , elm , birch , spruce , redwood , walnut , fir , hickory , oak . And the other : hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow , heron , eagle , crow .
Before the meeting , Mary wrote down the following lists of words . One was : shirt , socks , pants , shoes , blouse , skirt , coat , dress , hat , sweater . And the other : pneumonia , smallpox , influenza , encephalitis , cancer , measles , tuberculosis , polio , malaria , leukemia .
Before the meeting , Mary wrote down the following lists of words . One was : sweater , shirt , socks , pants , shoes , blouse , skirt , coat , dress , hat . And the other : chlorine , calcium , potassium , oxygen , hydrogen , nitrogen , carbon , sodium , sulphur , helium .
Before the meeting , Mary wrote down the following lists of words . One was : hat , sweater , shirt , socks , pants , shoes , blouse , skirt , coat , dress . And the other : valley , river , rock , lake , canyon , tundra , ocean , cave , mountain , hill .
Before the meeting , Mary wrote down the following lists of words . One was : dress , hat , sweater , shirt , socks , pants , shoes , blouse , skirt , coat . And the other : horse , cow , lion , tiger , elephant , pig , bear , mouse , log , cat .
Before the meeting , Mary wrote down the following lists of words . One was : coat , dress , hat , sweater , shirt , socks , pants , shoes , blouse , skirt . And the other : ocean , cave , mountain , hill , valley , river , rock , lake , canyon , tundra .
Before the meeting , Mary wrote down the following lists of words . One was : skirt , coat , dress , hat , sweater , shirt , socks , pants , shoes , blouse . And the other : rayon , linen , satin , velvet , denim , canvas , felt , cotton , wool , silk .
Before the meeting , Mary wrote down the following lists of words . One was : blouse , skirt , coat , dress , hat , sweater , shirt , socks , pants , shoes . And the other : dish , knife , spoon , fork , pan , pot , stove , bowl , mixer , cup .
Before the meeting , Mary wrote down the following lists of words . One was : shoes , blouse , skirt , coat , dress , hat , sweater , shirt , socks , pants . And the other : tornado , rain , snow , hail , storm , wind , cyclone , clouds , sunshine , hurricane .
Before the meeting , Mary wrote down the following lists of words . One was : pants , shoes , blouse , skirt , coat , dress , hat , sweater , shirt , socks . And the other : lemon , apricot , apple , pear , banana , peach , grape , cherry , plum , grapefruit .
Before the meeting , Mary wrote down the following lists of words . One was : socks , pants , shoes , blouse , skirt , coat , dress , hat , sweater , shirt . And the other : birch , spruce , redwood , walnut , fir , hickory , oak , maple , pine , elm .
Before the meeting , Mary wrote down the following lists of words . One was : cancer , measles , tuberculosis , polio , malaria , leukemia , pneumonia , smallpox , influenza , encephalitis . And the other : hearth , hall , window , door , roof , wall , floor , ceiling , room , basement .
Before the meeting , Mary wrote down the following lists of words . One was : encephalitis , cancer , measles , tuberculosis , polio , malaria , leukemia , pneumonia , smallpox , influenza . And the other : geology , microbiology , chemistry , physics , psychology , biology , zoology , botany , astronomy , mathematics .
Before the meeting , Mary wrote down the following lists of words . One was : influenza , encephalitis , cancer , measles , tuberculosis , polio , malaria , leukemia , pneumonia , smallpox . And the other : bee , mosquito , spider , beetle , wasp , moth , flea , butterfly , fly , ant .
Before the meeting , Mary wrote down the following lists of words . One was : smallpox , influenza , encephalitis , cancer , measles , tuberculosis , polio , malaria , leukemia , pneumonia . And the other : robbery , theft , assault , arson , kidnapping , larceny , adultery , battery , murder , rape .
Before the meeting , Mary wrote down the following lists of words . One was : pneumonia , smallpox , influenza , encephalitis , cancer , measles , tuberculosis , polio , malaria , leukemia . And the other : mathematics , geology , microbiology , chemistry , physics , psychology , biology , zoology , botany , astronomy .
Before the meeting , Mary wrote down the following lists of words . One was : leukemia , pneumonia , smallpox , influenza , encephalitis , cancer , measles , tuberculosis , polio , malaria . And the other : battery , murder , rape , robbery , theft , assault , arson , kidnapping , larceny , adultery .
Before the meeting , Mary wrote down the following lists of words . One was : malaria , leukemia , pneumonia , smallpox , influenza , encephalitis , cancer , measles , tuberculosis , polio . And the other : grapefruit , lemon , apricot , apple , pear , banana , peach , grape , cherry , plum .
Before the meeting , Mary wrote down the following lists of words . One was : polio , malaria , leukemia , pneumonia , smallpox , influenza , encephalitis , cancer , measles , tuberculosis . And the other : sodium , sulphur , helium , chlorine , calcium , potassium , oxygen , hydrogen , nitrogen , carbon .
Before the meeting , Mary wrote down the following lists of words . One was : tuberculosis , polio , malaria , leukemia , pneumonia , smallpox , influenza , encephalitis , cancer , measles . And the other : rape , robbery , theft , assault , arson , kidnapping , larceny , adultery , battery , murder .
Before the meeting , Mary wrote down the following lists of words . One was : measles , tuberculosis , polio , malaria , leukemia , pneumonia , smallpox , influenza , encephalitis , cancer . And the other : silk , rayon , linen , satin , velvet , denim , canvas , felt , cotton , wool .
Before the meeting , Mary wrote down the following lists of words . One was : mountain , hill , valley , river , rock , lake , canyon , tundra , ocean , cave . And the other : encephalitis , cancer , measles , tuberculosis , polio , malaria , leukemia , pneumonia , smallpox , influenza .
Before the meeting , Mary wrote down the following lists of words . One was : cave , mountain , hill , valley , river , rock , lake , canyon , tundra , ocean . And the other : hall , window , door , roof , wall , floor , ceiling , room , basement , hearth .
Before the meeting , Mary wrote down the following lists of words . One was : ocean , cave , mountain , hill , valley , river , rock , lake , canyon , tundra . And the other : apple , pear , banana , peach , grape , cherry , plum , grapefruit , lemon , apricot .
Before the meeting , Mary wrote down the following lists of words . One was : tundra , ocean , cave , mountain , hill , valley , river , rock , lake , canyon . And the other : salmon , tuna , goldfish , cod , carp , pike , trout , shark , herring , perch .
Before the meeting , Mary wrote down the following lists of words . One was : canyon , tundra , ocean , cave , mountain , hill , valley , river , rock , lake . And the other : eye , foot , nose , finger , ear , hand , toe , leg , arms , head .
Before the meeting , Mary wrote down the following lists of words . One was : lake , canyon , tundra , ocean , cave , mountain , hill , valley , river , rock . And the other : redwood , walnut , fir , hickory , oak , maple , pine , elm , birch , spruce .
Before the meeting , Mary wrote down the following lists of words . One was : rock , lake , canyon , tundra , ocean , cave , mountain , hill , valley , river . And the other : rain , snow , hail , storm , wind , cyclone , clouds , sunshine , hurricane , tornado .
Before the meeting , Mary wrote down the following lists of words . One was : river , rock , lake , canyon , tundra , ocean , cave , mountain , hill , valley . And the other : polio , malaria , leukemia , pneumonia , smallpox , influenza , encephalitis , cancer , measles , tuberculosis .
Before the meeting , Mary wrote down the following lists of words . One was : valley , river , rock , lake , canyon , tundra , ocean , cave , mountain , hill . And the other : pink , brown , blonde , blue , red , green , yellow , black , purple , white .
Before the meeting , Mary wrote down the following lists of words . One was : hill , valley , river , rock , lake , canyon , tundra , ocean , cave , mountain . And the other : white , pink , brown , blonde , blue , red , green , yellow , black , purple .
Before the meeting , Mary wrote down the following lists of words . One was : murder , rape , robbery , theft , assault , arson , kidnapping , larceny , adultery , battery . And the other : wool , silk , rayon , linen , satin , velvet , denim , canvas , felt , cotton .
Before the meeting , Mary wrote down the following lists of words . One was : battery , murder , rape , robbery , theft , assault , arson , kidnapping , larceny , adultery . And the other : snow , hail , storm , wind , cyclone , clouds , sunshine , hurricane , tornado , rain .
Before the meeting , Mary wrote down the following lists of words . One was : adultery , battery , murder , rape , robbery , theft , assault , arson , kidnapping , larceny . And the other : teacher , dentist , engineer , professor , carpenter , salesman , nurse , psychologist , doctor , lawyer .
Before the meeting , Mary wrote down the following lists of words . One was : larceny , adultery , battery , murder , rape , robbery , theft , assault , arson , kidnapping . And the other : mountain , hill , valley , river , rock , lake , canyon , tundra , ocean , cave .
Before the meeting , Mary wrote down the following lists of words . One was : kidnapping , larceny , adultery , battery , murder , rape , robbery , theft , assault , arson . And the other : carbon , sodium , sulphur , helium , chlorine , calcium , potassium , oxygen , hydrogen , nitrogen .
Before the meeting , Mary wrote down the following lists of words . One was : arson , kidnapping , larceny , adultery , battery , murder , rape , robbery , theft , assault . And the other : ruler , wrench , drill , screws , hammer , saw , nails , level , plane , chisel .
Before the meeting , Mary wrote down the following lists of words . One was : assault , arson , kidnapping , larceny , adultery , battery , murder , rape , robbery , theft . And the other : sunshine , hurricane , tornado , rain , snow , hail , storm , wind , cyclone , clouds .
Before the meeting , Mary wrote down the following lists of words . One was : theft , assault , arson , kidnapping , larceny , adultery , battery , murder , rape , robbery . And the other : rock , lake , canyon , tundra , ocean , cave , mountain , hill , valley , river .
Before the meeting , Mary wrote down the following lists of words . One was : robbery , theft , assault , arson , kidnapping , larceny , adultery , battery , murder , rape . And the other : nose , finger , ear , hand , toe , leg , arms , head , eye , foot .
Before the meeting , Mary wrote down the following lists of words . One was : rape , robbery , theft , assault , arson , kidnapping , larceny , adultery , battery , murder . And the other : perch , salmon , tuna , goldfish , cod , carp , pike , trout , shark , herring .
Before the meeting , Mary wrote down the following lists of words . One was : log , cat , horse , cow , lion , tiger , elephant , pig , bear , mouse . And the other : flea , butterfly , fly , ant , bee , mosquito , spider , beetle , wasp , moth .
